Customer ID,Name,Address 1,Address 2,Address 3,City,State,Country,ZIP Code,Channel,Customer Start Date,Customer End Date
101001,Shannon Kemp,3833 Larry Street,,,Southern Pines,NC,US,28387,Boutique,9/28/2011,1/1/9999
101002,SaqS,2245 Cantebury Drive,,,Pittsburgh,PA,US,15212,Department Stores,3/27/2012,1/1/9999
101003,Joan Somers,4506 Virginia Street,,,Espanola,NM,US,87532,Boutique,10/1/2013,1/1/9999
101004,Q-Storm,3834 Poe Lane,,,New York,NY,US,10016,Department Stores,10/17/2012,9/1/2014
101005,Kacey Hernandez,2613 Wildwood Street,,,Adelphi,MD,US,20783,Boutique,3/22/2012,1/1/9999
101006,Hannah Garcia,962 Oakmound Drive,,,Howell,UT,US,84316,Boutique,5/24/2012,1/1/9999
101007,Teresa Medley,4721 Virgil Street,,,Houston,TX,US,77032,Boutique,5/23/2011,1/1/9999
101008,Helen Brady,17 Sarah Drive,,,Lincoln,NE,US,68501,Boutique,12/1/2013,1/1/9999
101009,John Sumner,2525 Johnson Street,,,Los Angeles,CA,US,90046,Boutique,8/31/2011,1/1/9999
101010,Marjorie Barker,697 Hart Street,,,Los Angeles,CA,US,90017,Boutique,9/22/2011,12/1/2014
101011,Frank Witherington,2067 Willis Avenue,,,Elizabeth,CO,US,80107,Boutique,11/16/2011,1/1/9999
101012,Cleo King,1480 Coal Street,,,Fresno,CA,US,93721,Boutique,7/6/2012,1/1/9999
101013,Zachary Warner,1742 Blue Spruce Lane,,,Pine Bluff,AR,US,71601,Boutique,7/1/2013,1/1/9999
101014,John Pollard,948 Maple Avenue,,,Mountain Home,TX,US,78058,Boutique,5/31/2011,1/1/9999
101015,Gregory Reed,1438 Maloy Court,,,Union City,IN,US,47390,Boutique,8/1/2013,1/1/9999
101016,Jose Gregg,3433 Bell Street,,,Jacksonville,FL,US,32202,Boutique,9/16/2012,1/1/9999
101017,John Dawkins,2112 Green Gate Lane,,,Birmingham,AL,US,35203,Boutique,9/1/2013,1/1/9999
101018,Anna Morris,2692 Victoria Street,,,Philadelphia,PA,US,19108,Boutique,4/28/2012,1/1/9999
101019,John Foster,4568 Melrose Street,,,Russellville,AR,US,72801,Boutique,10/1/2013,1/1/9999
101020,Allison Whitley,238 Lindale Avenue,,,South Burlington,VT,US,5403,Boutique,12/3/2012,1/1/9999
101021,Norman Atkinson,575 Beeghley Street,,,Nashville,TN,US,37207,Boutique,11/1/2013,1/1/9999
